titulo;codigo;campo;subitem;legenda;obrigatorio;critico
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;Os cintos de segurança estão em bom estado de conservação e funcionando?;VM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;Os sinais sonoros do veículo (buzina, alarme de ré, etc.) se encontram funcionando normalmente?;VM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;Os freios do veículo (freios de pé e freios de estacionamento) estão funcionando normalmente?;VM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;Os pneus e os parafusos das rodas estão em bom estado (não estão carecas), sem rasgos ou outros defeitos?;VM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;O veículo não possui vazamento de óleo ou de água?;AM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;As luzes externas do veículo se encontram funcionando (farol, setas, luzes de freio, pisca alerta, luz de ré)?;AM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;Os espelhos retrovisores se encontram em bom estado e sem trincas? Nota: Se o veículo estiver sem retrovisor o veículo deverá ser INTERDITADO.;AM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;A instrumentação do painel (velocímetro, temperatura da água, marcador combustível, etc.) está funcionando corretamente?;AM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;As partes móveis do caminhão estão protegidas?;AM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;O limpador de pára-brisa e esguicho de água do veículo estão funcionando perfeitamente?;AM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;O veículo possui instaladas faixas refletivas ao longo da sua carroceria?;AM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;O caminhão possui tacógrafo e está em perfeito funcionamento, inclusive o disco de tacógrafo?;AM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;Os materiais carregados na carroceria estão devidamente amarrados e organizados?;AM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;Amarração de carga está sendo feita com cinta conforme Resolução CONTRAN Nº 552?;AZ;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;O para-brisa do veículo se encontra em bom estado, sem trincas?;AZ;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;O veículo possui extintor de incêndio carregado dentro do prazo de validade?;AZ;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;O veículo possui estepe, e ele está em bom estado de uso?;AZ;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;As luzes do painel do veículo estão funcionando corretamente?;AZ;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DO EQUIPAMENTO;O veículo dispõe de kit com macaco, chave de roda e triângulo de sinalização?;AZ;true;false

CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DOCUMENTAL;O documento do caminhão (CRLV) está disponível no veículo e está válido?;VM;true;false
CHECKLIST DE INSPEÇÃO ANTES DO USO CAMINHÃO CARROCERIA;CL-02 R00 REVISÃO: 01 05/11/2024;INSPEÇÃO DOCUMENTAL;A Carteira de Habilitação do Motorista é categoria “D” ou “E”, e está dentro da validade?;LJ;true;false
